"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"10 ROADS EXPRESS, LLC (SALMON COMPANIES)/PAT SALMON & SONS, INC.",4470,"MULTIPLE","POSTAL WORKERS, AMERICAN, AFL-CIO (APWU) /POSTAL WORKERS, AMERICAN, AFL-CIO (APWU) 418 NORTHWEST LOUISIANA AREA/POSTAL WORKERS, AMERICAN, AFL-CIO (APWU) 96 MEMPHIS  TENNESSEE AREA LOCAL","Sep 30, 2026",,,"PRIVATE"
"10 ROADS EXPRESS, LLC (SALMON COMPANIES)/PAT SALMON & SONS, INC.",4157,"MULTIPLE","POSTAL WORKERS, AMERICAN, AFL-CIO (APWU) ","May 31, 2023","484230","608","PRIVATE"
"3-D EXHIBITS, INC.",2315,"IL"," (CRCC) ","May 31, 2020",,,"PRIVATE"
"30 MAJOR LEAGUE CLUBS",2447,"NY"," (MLBPA) ","Dec 1, 2021",,,"PRIVATE"
"30 MAJOR LEAGUE CLUBS/MAJOR LEAGUE BASEBALL (MLB)/MAJOR LEAGUE CLUBS",4123,"NATIONAL","MAJOR LEAGUE BASEBALL PLAYERS ASSOCIATION ","Dec 1, 2016",,,"PRIVATE"
"3535 LV CORP DBA LINQ HOTEL",2574,"NV","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 357","Mar 31, 2019",,"48","PRIVATE"
"67TH JUDICIAL DISTRICT COURT/7TH JUDICIAL CIRCUIT COURT/GENESEE COUNTY (CLERICAL / MAINTENANCE)/GENESEE COUNTY BOARD OF COMMISSIONERS/GENESEE COUNTY PROBATE COURT/GENESEE COUNTY PROSECUTOR",4785,"MI","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 25 MICHIGAN","Dec 31, 2024",,,"PUBLIC"
"9W HALO OPCO L.P. DBA ANGELICA",1743,"IL","TEAMSTERS (IBT) 14","Aug 22, 2022",,,"PRIVATE"
"A & P TEA CO. INC.",611,"NY NJ","FOOD AND COMMERCIAL WKRS (UFCW) 464 A","Nov 8, 2008","445110","8000","PRIVATE"
"A & P TEA CO. INC.",655,"MI","FOOD AND COMMERCIAL WKRS (UFCW) 876","Jun 1, 2007","445110","8000","PRIVATE"
"A & P TEA CO. INC.",689,"NY","FOOD AND COMMERCIAL WKRS (UFCW) 342 050","Oct 30, 2003","445110","1600","PRIVATE"
"A. O. SMITH WATER PRODUCTS CO.",1803,"WA","BOILERMAKERS AFL-CIO (BBF) 104","Feb 7, 2010","316999","1000","PRIVATE"
"A.S. AMERICA INC",2410,"OH","STEELWORKERS, AFL-CIO (USW) 07 1538","Jan 31, 2020",,,"PRIVATE"
"A&A HOLDINGS OF ILLINOIS, LLC. THE PETROFF COMPANIES, INC.",3904,"IL","TEAMSTERS (IBT) 50 ","Jan 19, 2025",,,"PRIVATE"
"A2M CONSULTING, LLC/BGI, LLC/CREW TRAINING INTERNATIONAL, INC/KT CONSULTING, INC",4327,"AZ","MACHINISTS AFL-CIO (IAM) 2515 /MACHINISTS AFL-CIO (IAM) 519 ","Feb 15, 2025",,,"PRIVATE"
"AALBERTS IPS-ELKHART PRODUCTS CORPORATION",1157,"IN","MACHINISTS AFL-CIO (IAM) 2018","Aug 13, 2022","332996","120","PRIVATE"
"ABATEMENT CONTRACTORS ASSOCIATION, INC./NEW JERSEY INSULATION, THE",4693,"NJ","INSULATORS AFL-CIO (HFIA) 89 ","Jun 30, 2026",,,"PRIVATE"
"ABBOTT HOUSE",2551,"NY","FOOD AND COMMERCIAL WKRS (UFCW) 888","May 31, 2019","623990","130","PRIVATE"
"ABBOTT NORTHWESTERN HOSPITAL",2032,"MN"," (SEIU) -","Dec 31, 2013","62211","1000","PRIVATE"
"ABC INC.",2172,"NY","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) 804","Dec 11, 2016","513120",,"PRIVATE"
"ABC INC. (DISNEY- WAS CAPITAL CITIES)",443,"NATIONAL","CWA/NABET ","May 12, 2003","515120","1800","PRIVATE"
"ABC UNIFIED SCHOOL DISTRICT (TEACHERS)",2647,"CA CERRITOS"," (AFT) ABCFT 2317","Jun 30, 2000","611110","1100","PUBLIC"
"ABC, INC. (WPVI-TV)",2286,"PA","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) 804","Jun 5, 2021",,,"PRIVATE"
"ABERDEEN GROUP, THE",3898,"IL","ENGINEERS, OPERATING, AFL-CIO (IUOE) 399 ","May 31, 2023",,,"PRIVATE"
"ABLE BUILDING MAINTENANCE",2040,"CA","SERVICE EMPLOYEES (SEIU) 1877","Jan 31, 2012",,,"PRIVATE"
"ABLE BUILDING MAINTENANCE, OAKLAND COLISEUM",2039,"CA","SERVICE EMPLOYEES (SEIU) 1877","Oct 31, 2011",,,"PRIVATE"
"ABM AVIATION",4429,"IL","TEAMSTERS (IBT) 120 ","Jul 31, 2024",,,"PRIVATE"
"ABM INDUSTRY GROUPS, LLC/CUSHMAN AND WAKEFIELD/EUREST SERVICES, INC./HOUSTON AREA SERVICE CONTRACTORS ASSOCIATION/PRITCHARD INDUSTRIES SOUTHWEST, LLC (JANITORIAL)/RED COATS, INC./SDH SERVICES EAST LLC/SUPER BUILDING SERVICES/VELOCITI SERVICES",4557,"TX","SERVICE EMPLOYEES (SEIU) SEIU TEXAS/SERVICE EMPLOYEES (SEIU) SEIU TEXAS STATE COUNCIL","May 31, 2028",,,"PRIVATE"
"ABM JANITORIAL SERVICES (ALCOA PLANT)",4456,"NY","STEELWORKERS, AFL-CIO (USW) 4 420 A ","Jun 30, 2024",,,"PRIVATE"
"ABRAXAS GROUP, INC. (DBA CORNELL-ABRAXAS)/CORNELL-ABRAXAS",3833,"PA","SERVICE EMPLOYEES INTERNATIONAL UNION 668","Sep 30, 2023",,,"PRIVATE"
"ABS PAYROLL COMPANY",4372,"CA","STAGE AND PICTURE OPERATORS AFL-CIO (IATSE) 33 ","Dec 31, 2024",,,"PRIVATE"
"ABSOLUT CARE FACILITIES",4629,"NY","SERVICE EMPLOYEES (SEIU) 1199 SEIU UNITED HEALTH CARE WORKERS EAST","Apr 30, 2025",,"220","PRIVATE"
"ABT, INC",1832,"NC","BOILERMAKERS AFL-CIO (BBF) 154","Nov 30, 2009","238390","1000","PRIVATE"
"AC FIRST LLC",2060,"-"," (-) -","Jan 1, 1800",,,"PRIVATE"
"ACCENTURE DBA ACCENTURE FLEX LLC",4631,"CA, TX","COMMUNICATIONS WORKERS AFL-CIO (CWA) 9009 ","Jan 1, 2027","813930","26","PRIVATE"
"ACE GALVANIZING INC.",1804,"WA","BOILERMAKERS AFL-CIO (BBF) 104","Dec 1, 2009","316999","1000","PRIVATE"
"ACME MARKETS INC.",565,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) 1360","Apr 25, 2009","445110","3000","PRIVATE"
"ACME MARKETS INC.",639,"DE NJ PA","FOOD AND COMMERCIAL WKRS (UFCW) 56","May 8, 2004","445110","1300","PRIVATE"
"ACME MARKETS INC.",748,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) 1245","Nov 11, 2005","445110","1500","PRIVATE"
"ACME MARKETS INC.",2222,"PA","FOOD AND COMMERCIAL WKRS (UFCW) 1776","Feb 2, 2008",,,"PRIVATE"
"ACME MARKETS INC. (DELAWARE VALLEY) (MOA)",560,"DE","FOOD AND COMMERCIAL WKRS (UFCW) 27","Jul 19, 2008","445110","1900","PRIVATE"
"ACME MARKETS INC. EASTERN SHORE (MOA)",648,"DE MD VA WV","FOOD AND COMMERCIAL WKRS (UFCW) 27","Sep 28, 2002","445110","1025","PRIVATE"
"ACME MARKETS, INC.",2221,"PA","FOOD AND COMMERCIAL WKRS (UFCW) 1776","Feb 2, 2012",,,"PRIVATE"
"ACME STEEL CO. & ACME PACKAGING CORP.",192,"IL RIVERDALE"," (USW) ?-","Dec 31, 2005","331111","1150","PRIVATE"
"ACO PIKETON/AMERICAN CENTRIFUGE OPERATING, LLC, A WHOLLY OWNED SUBSIDIARY OF CENTRUS ENERGY CORP.",4869,"OH","STEELWORKERS, AFL-CIO (USW) 1 689 ","Oct 1, 2026",,,"PRIVATE"
"ACROWOOD CORP.",1805,"WA","BOILERMAKERS AFL-CIO (BBF) 104","Mar 31, 2011","316999","1000","PRIVATE"
"ACTION FACILITIES MANAGEMENT, INC.",2601,"DC","SERVICE EMPLOYEES (SEIU) 32 BJ","Aug 31, 2022",,,"PRIVATE"
"ADAMS COUNTY (CIRCUIT/DEPUTY CLERKS)",3771,"IL","MACHINISTS AFL-CIO (IAM) 9 ","Nov 30, 2024",,,"PUBLIC"
"ADAMS COUNTY (COUNTY RECORDER)",3787,"CO","MACHINISTS AFL-CIO (IAM) 9 ","Nov 30, 2022",,,"PUBLIC"
"ADAMS COUNTY (PARAMEDICS-EMT)",4185,"IL","MACHINISTS AFL-CIO (IAM) 822 QUINCY LODGE NO. 822  IAMAW","Nov 30, 2023",,,"PUBLIC"
"ADAMS COUNTY (STATE ATTORNEY'S SECRETARIES)",4246,"IL","MACHINISTS AFL-CIO (IAM) 822 QUINCY LODGE NO. 822  IAMAW/MACHINISTS AFL-CIO (IAM) 9 ","Nov 30, 2022",,,"PUBLIC"
"ADAMS COUNTY (TREASURER'S OFFICE)",4184,"IL","MACHINISTS AFL-CIO (IAM) 9 ","Nov 30, 2022",,,"PUBLIC"
"ADAMS COUNTY BOARD (CORRECTION SERGEANTS)/ADAMS COUNTY SHERIFF (CORRECTION SERGEANTS)",3772,"IL","NATIONAL FRATERNAL ORDER OF POLICE (NFOP) 1 F FEDERAL POLICE OFFICERS, ILLINOIS","Nov 30, 2024",,,"PUBLIC"
"ADAMS COUNTY BOARD (COURT SERVICES)/ADAMS COUNTY SHERIFF (COURT SERVICES)",3773,"IL","NATIONAL FRATERNAL ORDER OF POLICE (NFOP) 1 F FEDERAL POLICE OFFICERS, ILLINOIS","Nov 30, 2024",,,"PUBLIC"
"ADAMS COUNTY BOARD (PATROL SERGEANTS)/ADAMS COUNTY SHERIFF (PATROL SERGEANTS)",3774,"IL","NATIONAL FRATERNAL ORDER OF POLICE (NFOP) 1 F FEDERAL POLICE OFFICERS, ILLINOIS","Nov 30, 2024",,,"PUBLIC"
"ADAMS COUNTY EIGHTH JUDICIAL CIRCUIT - JUVENILE DETENTION CENTER (DETENTION OFFICER)",4310,"IL","MACHINISTS AFL-CIO (IAM) 9 ","Nov 30, 2023",,,"PUBLIC"
"ADAMS COUNTY EIGHTH JUDICIAL CIRCUIT (CLERK / SECRETARY)",4309,"IL","MACHINISTS AFL-CIO (IAM) 9 ","Nov 30, 2022",,,"PUBLIC"
"ADAMS COUNTY SHERIFF (SHERIFF DEPUTIES)",4777,"IL","POLICEMEN'S BENEVOLENT LABOR COMMITTEE ","Nov 30, 2021",,,"PUBLIC"
"ADAMS ILLINOIS COUNTY SHERRIFF (CORRECTIONS)",3764,"IL","POLICEMEN'S BENEVOLENT LABOR COMMITTEE ","Nov 30, 2024",,,"PUBLIC"
"ADAMS RURAL ELECTRIC, INC.",4071,"OH","ELECTRICAL WORKERS IBEW AFL-CIO (IBEW) 2359 ","Mar 31, 2023",,,"PRIVATE"
"ADAMS SUPER FOOD STORES",2247,"NJ","FOOD AND COMMERCIAL WKRS (UFCW) 464 A","Apr 19, 2003",,,"PRIVATE"
"ADDISON-WESLEY LONGMAN PUBLISHERS",1917,"NY"," (UAW) 2110","Dec 31, 2010","813319","2771","PRIVATE"
"ADEL, IOWA, CITY OF",3467,"IA","ENGINEERS, OPERATING, AFL-CIO (IUOE) 234 OPERATING ENGINEERS LOCAL 234","Jun 30, 2011","23731","2498","PUBLIC"
"ADEL, IOWA, CITY OF",3468,"IA","ENGINEERS, OPERATING, AFL-CIO (IUOE) 234 OPERATING ENGINEERS LOCAL 234","Jun 30, 2013","23731","2498","PUBLIC"
"ADJUTANT GENERAL OF ARKANSAS",3573,"AK"," (ACT) 117/131","May 7, 2022",,,"PUBLIC"
"ADJUTANT GENERAL OF MICHIGAN",3522,"MICHIGAN"," (LIUNA) 2132","Aug 1, 2018","928110",,"PUBLIC"
"ADJUTANT GENERAL OF WISCONSIN, THE",4602,"WI","ASSOCIATION OF CIVILIAN TECHNICIANS (ACT) 26 WISCONSIN ARMY","Oct 15, 2027",,,"PUBLIC"
"ADVANCED GLASSFIBER YARNS, LLC",191,"SC AIKEN","TEAMSTERS (IBT) 86","May 1, 2006","327213","1000","PRIVATE"
"AEROSPACE CORP.",361,"CA"," (APSA (I)) ?-","Aug 1, 2008","54171","1600","PRIVATE"
"AEROSPACE CORP.",362,"CA EL SEGUNDO"," (APSA (I)) -","Aug 1, 2005","54171","1600","PRIVATE"
"AEROSPACE CORP.",363,"CA EL SEGUNDO"," (APSA (I)) -","Aug 1, 2009","54171","1600","PRIVATE"
"AFSCME NEW JERSEY ORGANIZING COMMITTEE/COUNCIL 73",2339,"NJ","STATE COUNTY AND MUNI EMPLS AFL-CIO (AFSCME) 73 CENTRAL NEW JERSEY DISTRICT","Apr 1, 2024",,,"PRIVATE"
"AFT CONNECTICUT",3605,"CT MI IL MT ID DC WA MA CT","STAFF UNION ","Jun 30, 2019",,,"PUBLIC"
"AGC OF MICHIGAN",2510,"MI","MICHIGAN REGIONAL COUNCIL OF CARPENTERS ","Jun 1, 2023",,,"PRIVATE"
"AGC OF MINNESOTA LAKES AND PLAINS REGIONAL COUNCIL OF CARPENTERS AND JOINERS",1506,"MN"," (UBC) ","Apr 30, 2008",,,"PRIVATE"
"AGC OF NORTHWEST OHIO AND TOLEDO AREA CARPENTER EMPLOYERS ASSOCIATION",1424,"OH"," (UBC) 248, 372,1138,15812239","Jun 30, 2007",,,"PRIVATE"
"AGC OF ST. LOUIS AND THE ERECTORS AND RIGGERS ASSOCIATION",1381,"MO ST. LOUIS","IRON WORKERS AFL-CIO (BSOIW) 396","Aug 1, 2007",,,"PRIVATE"
"AGC OH (LABOR RELATIONS DIVISION)",1616,"OH","ENGINEERS, OPERATING, AFL-CIO (IUOE) 18","Apr 30, 2007",,,"PRIVATE"
"AGC, AK",1357,"AK, ANCHORAGE","CARPENTERS IND (CJA) 12/CARPENTERS IND (CJA) 247","Jun 30, 2008","23621","1000","PRIVATE"
"AGC, AK",1358,"AK","CARPENTERS IND (CJA) 1243/CARPENTERS IND (CJA) 1281/CARPENTERS IND (CJA) 2247/CARPENTERS IND (CJA) 2520","Jun 30, 2011","23621","1000","PRIVATE"
"AGC, AK",1662,"AK","LABORERS  (LIUNA) 341/LABORERS  (LIUNA) 942","Jun 30, 2008","23621","3000","PRIVATE"
"AGC, AK",1663,"AK","LABORERS  (LIUNA) 942","Jun 30, 2012","23731","3000","PRIVATE"
"AGC, AK",1664,"AK","LABORERS  (LIUNA) 341/LABORERS  (LIUNA) 942","Jun 30, 2012","23621","3000","PRIVATE"
"AGC, AK",1688,"AK","ENGINEERS, OPERATING, AFL-CIO (IUOE) 302","Dec 31, 2006","23621","4000","PRIVATE"
"AGC, AK",1689,"AK"," (IOUE) 302","Dec 31, 2009","23731","3000","PRIVATE"
"AGC, AK",1774,"AK","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 867","Jan 1, 1800","23731","3000","PRIVATE"
"AGC, AK",1775,"AK","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 867","Jan 31, 2013","23731","3000","PRIVATE"
"AGC, AK",1776,"AK","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 867","Jan 31, 2010","23731","1000","PRIVATE"
"AGC, AK",1777,"AK","TEAMSTERS (IBT) 959","Feb 28, 2011","23731","5875","PRIVATE"
"AGC, AZ (HVY-HWY)",901,"AZ","ENGINEERS, OPERATING, AFL-CIO (IUOE) 428","May 31, 2008","23731","1500","PRIVATE"
"AGC, AZ (HVY-HWY)",1682,"AZ"," (UBC) SWRCC","Jun 30, 2005","23731","1000","PRIVATE"
"AGC, AZ (HVY-HWY)",1683,"AZ"," (UBC) SWRCC","Jun 30, 2008","23731","1000","PRIVATE"
"AGC, CA",1332,"CA NORTHERN"," (-) NO. CA DC","Jun 30, 2006","23621","21000","PRIVATE"
"AGC, CA",1333,"CA NORTHERN","LABORERS  (LIUNA) 0 NORTHERN CALIFORNIA","Jun 30, 2006","23621","21000","PRIVATE"
"AGC, CA",1655,"CA NORTHERN"," (UBC) 46 NCCCB","Jun 30, 2008","23813","17000","PRIVATE"
"AGC, CA - NORTHERN",1237,"CA NORTHERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 3","Jun 15, 2006","23731","8500","PRIVATE"
"AGC, CA - NORTHERN",1340,"CA NORTHERN","LABORERS  (LIUNA) 0 NORTHERN CALIFORNIA","Jun 30, 2006","23731","1700","PRIVATE"
"AGC, CA - NORTHERN",2137,"CA","LABORERS  (LIUNA) 0","Jun 30, 2019","813910",,"PRIVATE"
"AGC, CA - NORTHERN 46 COUNTIES",1353,"CA NORTHERN"," (UBC) CARPENTERS' 46","Jun 30, 2008","23731","5000","PRIVATE"
"AGC, CA - NORTHERN 46 COUNTIES",1354,"CA NORTHERN"," (UBC) CARPENTERS' 46","Jun 30, 2008","23731","5000","PRIVATE"
"AGC, CA - SAN DIEGO COUNTY",1171,"CA SAN DIEGO","LABORERS  (LIUNA) 89","Jun 30, 2006","23621","3000","PRIVATE"
"AGC, CA - SAN DIEGO COUNTY",1172,"CA SAN DIEGO","LABORERS  (LIUNA) 89","Jun 30, 2006","23621","3000","PRIVATE"
"AGC, CA (CEMENT MASON'S AGREEMENT)",1334,"CA NO CENTRAL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 0 NORTHERN CALIFORNIA","Jun 15, 2009","23621","1600","PRIVATE"
"AGC, CA (CEMENT MASON'S AGREEMENT)",1335,"CA NO CENTRAL","PLASTERERS AND CEMENT MASONS AFL-CIO (OPCM) 0 NORTHERN CALIFORNIA","Jun 30, 2005","23621","1600","PRIVATE"
