title,pdf_url,document_id,filename,bus_code,agency,union,local,expiration_date,source
ARS Animal Disease Center2015-06-29BUS 1529.pdf,https://www.opm.gov/cba/api/documents/4ba838b6-8141-496d-981a-62382e7850fb/attachments/ARS%20Animal%20Disease%20Center2015-06-29BUS%201529.pdf,4ba838b6-8141-496d-981a-62382e7850fb,ARS Animal Disease Center2015-06-29BUS 1529.pdf,1529,Department of Agriculture,AFGE- American Federation of Government Employees,2315,6/29/2025,OPM
1085_FMCS & NAGE R3-118_11102020-redacted.pdf,https://www.opm.gov/cba/api/documents/c4ee5660-1499-e911-915b-005056a577c8/attachments/1085_FMCS%20%26%20NAGE%20R3-118_11102020-redacted.pdf,c4ee5660-1499-e911-915b-005056a577c8,1085_FMCS & NAGE R3-118_11102020-redacted.pdf,1085,Federal Mediation And Conciliation Service,NAGE- National Association of Government Employees,R3-118,2/11/2025,OPM
2679_DOT SLSDC & AFGE 1968_09302021-redacted.pdf,https://www.opm.gov/cba/api/documents/79fa136d-7297-e911-915b-005056a577c8/attachments/2679_DOT%20SLSDC%20%26%20AFGE%201968_09302021-redacted.pdf,79fa136d-7297-e911-915b-005056a577c8,2679_DOT SLSDC & AFGE 1968_09302021-redacted.pdf,1968,Department of Defense,AFGE- American Federation of Government Employees,1858,10/17/2020,OPM
1555 & 1564_DOE AFGE 788_06302019- redacted.pdf,https://www.opm.gov/cba/api/documents/5f1837cd-caa7-e911-915c-005056a577c8/attachments/1555%20%26%201564_DOE%20AFGE%20788_06302019-%20redacted.pdf,5f1837cd-caa7-e911-915c-005056a577c8,1555 & 1564_DOE AFGE 788_06302019- redacted.pdf,1555,Department of Energy,AFGE- American Federation of Government Employees,788,9/28/2023,OPM
3708_Army_USACE_CBA_02022020.pdf,https://www.opm.gov/cba/api/documents/9c8c526e-f9fb-e911-9160-005056a577c8/attachments/3708_Army_USACE_CBA_02022020.pdf,9c8c526e-f9fb-e911-9160-005056a577c8,3708_Army_USACE_CBA_02022020.pdf,3708,Department of Defense,AFGE- American Federation of Government Employees,2187,2/02/2020,OPM
2376_Treasury Mint FOP_CBA updated_Redacted.pdf,https://www.opm.gov/cba/api/documents/0d3c0948-d1a4-e911-915b-005056a577c8/attachments/2376_Treasury%20Mint%20FOP_CBA%20updated_Redacted.pdf,0d3c0948-d1a4-e911-915b-005056a577c8,2376_Treasury Mint FOP_CBA updated_Redacted.pdf,2376,Department of the Treasury,FOP- Fraternal Order of Police,,12/05/2021,OPM
2672_DOI NPS Independence NHP & AFGE 2058_08122019.pdf,https://www.opm.gov/cba/api/documents/c4aed959-fe98-e911-915b-005056a577c8/attachments/2672_DOI%20NPS%20Independence%20NHP%20%26%20AFGE%202058_08122019.pdf,c4aed959-fe98-e911-915b-005056a577c8,2672_DOI NPS Independence NHP & AFGE 2058_08122019.pdf,2058,Department of Defense,Laborers' International Union,1310,9/22/2005,OPM
1012_DOI BIA & Indian Educators Federation 4524_10042019- redacted.pdf,https://www.opm.gov/cba/api/documents/622e1554-2e9c-e911-915b-005056a577c8/attachments/1012_DOI%20BIA%20%26%20Indian%20Educators%20Federation%204524_10042019-%20redacted.pdf,622e1554-2e9c-e911-915b-005056a577c8,1012_DOI BIA & Indian Educators Federation 4524_10042019- redacted.pdf,1012,Department of the Interior,Federation of Indian Service Employees American Federation of Teachers,4524,10/04/2019,OPM
1501_Treasury BEP & IPPDE Local 32 Engravers_05142022-redacted.pdf,https://www.opm.gov/cba/api/documents/7512a833-af8b-e911-9158-005056a577c8/attachments/1501_Treasury%20BEP%20%26%20IPPDE%20Local%2032%20Engravers_05142022-redacted.pdf,7512a833-af8b-e911-9158-005056a577c8,1501_Treasury BEP & IPPDE Local 32 Engravers_05142022-redacted.pdf,1501,Department of the Treasury,"International Plate Printers, Die Stampers, and Engravers Union of North America",32,5/14/2022,OPM
1010 1120 HUD & AFGE- redacted.pdf,https://www.opm.gov/cba/api/documents/6acdd03c-1e9c-e911-915b-005056a577c8/attachments/1010%201120%20HUD%20%26%20AFGE-%20redacted.pdf,6acdd03c-1e9c-e911-915b-005056a577c8,1010 1120 HUD & AFGE- redacted.pdf,1010,Department of Housing and Urban Development,AFGE- American Federation of Government Employees,,7/23/2020,OPM
