filename,page_count,pages_with_text,text_page_ratio,total_chars,avg_chars_per_page,quality,flags
1010_1120_HUD_AFGE-_redacted.pdf,284,284,1.0,684988,2411.93,good,
1012_DOI_BIA_Indian_Educators_Federation_4524_10042019-_redacted.pdf,294,294,1.0,549612,1869.43,good,
1085_FMCS_NAGE_R3-118_11102020-redacted.pdf,71,71,1.0,115053,1620.46,good,
1501_Treasury_BEP_IPPDE_Local_32_Engravers_05142022-redacted.pdf,62,62,1.0,100746,1624.94,good,
1555_1564_DOE_AFGE_788_06302019-_redacted.pdf,156,156,1.0,300909,1928.9,good,
2376_Treasury_Mint_FOP_CBA_updated_Redacted.pdf,116,113,0.974,175527,1513.16,good,
2672_DOI_NPS_Independence_NHP_AFGE_2058_08122019.pdf,166,154,0.928,327208,1971.13,good,
2679_DOT_SLSDC_AFGE_1968_09302021-redacted.pdf,108,108,1.0,172071,1593.25,good,
3708_Army_USACE_CBA_02022020.pdf,69,69,1.0,145199,2104.33,good,
ARS_Animal_Disease_Center2015-06-29BUS_1529.pdf,115,115,1.0,221336,1924.66,good,
